IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
47.245.8.185	80	80	FALSE	NRT	Asia Pacific	Tokyo	82	11.19
8.218.3.12	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	135	11.19
47.245.4.219	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	86	11.19
47.245.59.133	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	76	11.19
8.218.110.180	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	76	11.18
47.74.52.104	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	104	11.18
8.219.206.180	8443	8443	TRUE	SIN	Asia Pacific	Singapore	176	11.17
8.222.131.102	2087	2087	TRUE	SIN	Asia Pacific	Singapore	119	11.17
47.245.8.156	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	77	11.17
47.236.145.180	2052	2052	FALSE	SIN	Asia Pacific	Singapore	38	11.17
47.74.2.106	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	130	11.17
8.222.167.8	2096	2096	TRUE	SIN	Asia Pacific	Singapore	74	11.15
8.219.238.145	2083	2083	TRUE	SIN	Asia Pacific	Singapore	32	11.15
47.74.43.24	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	82	11.15
47.91.16.198	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	80	11.15
47.74.5.150	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	79	11.14
47.74.15.120	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	199	11.14
47.74.13.200	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	91	11.14
8.222.211.124	2082	2082	FALSE	SIN	Asia Pacific	Singapore	7	11.14
8.222.154.227	2095	2095	FALSE	SIN	Asia Pacific	Singapore	7	11.13
47.245.37.89	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	83	11.13
8.219.209.14	2082	2082	FALSE	SIN	Asia Pacific	Singapore	11	11.13
8.222.249.190	2086	2086	FALSE	SIN	Asia Pacific	Singapore	4	11.13
47.74.47.225	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	94	11.13
47.245.55.99	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	241	11.12
8.222.215.228	2096	2096	TRUE	SIN	Asia Pacific	Singapore	44	11.12
47.245.11.62	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	124	11.12
47.245.113.117	2052	2052	FALSE	SIN	Asia Pacific	Singapore	15	11.12
47.91.29.108	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	86	11.11
47.74.26.196	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	171	11.11
8.219.193.22	8080	8080	FALSE	SIN	Asia Pacific	Singapore	10	11.11
8.222.212.219	2087	2087	TRUE	SIN	Asia Pacific	Singapore	31	11.1
8.209.215.247	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	76	11.1
47.245.58.175	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	139	11.1
47.74.10.135	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	72	11.1
47.74.9.174	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	87	11.1
47.74.13.239	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	76	11.1
47.245.15.207	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	77	11.1
47.74.32.22	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	84	11.09
47.74.50.249	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	149	11.09
8.219.251.81	2082	2082	FALSE	SIN	Asia Pacific	Singapore	36	11.09
8.219.238.145	443	443	TRUE	SIN	Asia Pacific	Singapore	194	11.09
8.219.202.130	8080	8080	FALSE	SIN	Asia Pacific	Singapore	19	11.09
47.74.52.188	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	81	11.09
47.236.7.246	2086	2086	FALSE	SIN	Asia Pacific	Singapore	35	11.08
47.245.53.101	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	87	11.08
47.245.82.78	2096	2096	TRUE	SIN	Asia Pacific	Singapore	5	11.08
47.245.62.84	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	74	11.08
47.245.56.207	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	104	11.08
8.219.201.8	2052	2052	FALSE	SIN	Asia Pacific	Singapore	15	11.08
8.219.228.186	2083	2083	TRUE	SIN	Asia Pacific	Singapore	174	11.08
47.245.54.140	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	181	11.07
47.74.8.255	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	118	11.07
8.222.221.197	8880	8880	FALSE	SIN	Asia Pacific	Singapore	4	11.07
47.74.7.51	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	139	11.07
47.245.55.235	80	80	FALSE	NRT	Asia Pacific	Tokyo	74	11.07
8.222.187.4	2095	2095	FALSE	SIN	Asia Pacific	Singapore	4	11.07
47.91.31.235	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	93	11.07
47.245.11.62	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	90	11.06
47.74.11.251	80	80	FALSE	NRT	Asia Pacific	Tokyo	86	11.06
8.219.228.193	8880	8880	FALSE	SIN	Asia Pacific	Singapore	10	11.06
8.218.211.17	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	39	11.06
8.222.137.166	2082	2082	FALSE	SIN	Asia Pacific	Singapore	4	11.05
47.74.15.120	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	109	11.05
47.245.37.37	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	82	11.05
8.222.215.228	2095	2095	FALSE	SIN	Asia Pacific	Singapore	21	11.05
8.222.252.150	8443	8443	TRUE	SIN	Asia Pacific	Singapore	59	11.04
47.245.12.38	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	196	11.04
8.222.210.182	2087	2087	TRUE	SIN	Asia Pacific	Singapore	108	11.04
8.222.193.65	2053	2053	TRUE	SIN	Asia Pacific	Singapore	86	11.04
47.245.38.233	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	165	11.02
47.245.11.108	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	74	11.02
8.222.221.109	2096	2096	TRUE	SIN	Asia Pacific	Singapore	47	11.02
8.219.215.12	2053	2053	TRUE	SIN	Asia Pacific	Singapore	126	11.01
8.222.229.22	2086	2086	FALSE	SIN	Asia Pacific	Singapore	5	11.01
8.219.201.8	8880	8880	FALSE	SIN	Asia Pacific	Singapore	28	11.01
47.245.42.162	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	77	11.01
8.219.210.64	2052	2052	FALSE	SIN	Asia Pacific	Singapore	8	11.01
47.245.28.255	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	81	11.01
47.245.14.160	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	194	11.01
8.222.167.8	2053	2053	TRUE	SIN	Asia Pacific	Singapore	42	11.01
47.74.16.67	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	178	11
8.222.255.15	8443	8443	TRUE	SIN	Asia Pacific	Singapore	77	11
8.219.235.164	2086	2086	FALSE	SIN	Asia Pacific	Singapore	38	11
8.218.201.73	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	68	10.99
8.219.222.8	80	80	FALSE	SIN	Asia Pacific	Singapore	33	10.98
47.245.12.38	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	81	10.98
8.222.129.32	2052	2052	FALSE	SIN	Asia Pacific	Singapore	9	10.97
8.222.238.141	2083	2083	TRUE	SIN	Asia Pacific	Singapore	62	10.97
47.245.30.144	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	206	10.97
47.245.9.228	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	108	10.97
47.245.30.144	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	223	10.96
8.217.193.25	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	74	10.96
47.245.54.140	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	151	10.96
8.219.251.81	2083	2083	TRUE	SIN	Asia Pacific	Singapore	133	10.96
47.74.11.251	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	76	10.96
8.222.214.231	2095	2095	FALSE	SIN	Asia Pacific	Singapore	5	10.95
8.219.201.245	443	443	TRUE	SIN	Asia Pacific	Singapore	84	10.95
47.245.31.0	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	78	10.95
8.219.228.157	2052	2052	FALSE	SIN	Asia Pacific	Singapore	13	10.95
47.74.5.233	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	77	10.94
47.245.54.58	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	90	10.94
47.245.10.77	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	76	10.94
8.219.170.58	2087	2087	TRUE	SIN	Asia Pacific	Singapore	164	10.94
8.219.194.170	2083	2083	TRUE	SIN	Asia Pacific	Singapore	86	10.93
8.222.128.131	2083	2083	TRUE	SIN	Asia Pacific	Singapore	92	10.93
47.245.55.235	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	86	10.93
47.245.41.69	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	157	10.93
8.222.253.235	8443	8443	TRUE	SIN	Asia Pacific	Singapore	72	10.92
47.245.15.39	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	186	10.92
47.74.34.38	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	78	10.91
8.219.249.38	2087	2087	TRUE	SIN	Asia Pacific	Singapore	79	10.91
47.245.55.94	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	163	10.91
8.222.215.228	8080	8080	FALSE	SIN	Asia Pacific	Singapore	2	10.91
47.245.53.50	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	164	10.91
47.88.101.9	443	443	TRUE	SJC	North America	San Jose	211	10.91
47.74.13.66	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	186	10.9
47.74.13.66	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	156	10.89
8.218.126.53	80	80	FALSE	HKG	Asia Pacific	Hong Kong	46	10.89
47.245.56.50	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	130	10.89
8.222.221.197	2086	2086	FALSE	SIN	Asia Pacific	Singapore	13	10.89
8.219.198.34	2053	2053	TRUE	SIN	Asia Pacific	Singapore	72	10.89
47.74.34.135	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	69	10.88
8.218.85.128	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	37	10.87
47.74.16.67	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	183	10.87
8.222.174.108	8080	8080	FALSE	SIN	Asia Pacific	Singapore	7	10.87
47.245.30.144	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	73	10.87
47.91.22.115	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	116	10.87
47.74.18.121	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	82	10.87
47.245.4.219	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	80	10.87
8.219.170.232	2096	2096	TRUE	SIN	Asia Pacific	Singapore	159	10.86
47.245.28.255	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	79	10.86
8.219.206.180	2083	2083	TRUE	SIN	Asia Pacific	Singapore	137	10.86
47.245.56.207	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	87	10.85
47.245.55.235	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	136	10.84
8.219.213.133	2087	2087	TRUE	SIN	Asia Pacific	Singapore	74	10.84
47.245.53.50	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	76	10.84
47.245.7.212	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	95	10.84
47.74.42.17	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	74	10.83
8.222.229.22	2087	2087	TRUE	SIN	Asia Pacific	Singapore	77	10.83
8.222.221.90	8880	8880	FALSE	SIN	Asia Pacific	Singapore	8	10.83
8.219.199.220	2052	2052	FALSE	SIN	Asia Pacific	Singapore	10	10.83
47.74.48.178	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	105	10.83
8.219.199.220	8080	8080	FALSE	SIN	Asia Pacific	Singapore	41	10.83
8.222.237.131	2082	2082	FALSE	SIN	Asia Pacific	Singapore	67	10.83
8.222.140.87	2096	2096	TRUE	SIN	Asia Pacific	Singapore	55	10.82
47.245.56.29	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	73	10.82
8.219.172.128	2083	2083	TRUE	SIN	Asia Pacific	Singapore	102	10.82
8.222.244.123	2052	2052	FALSE	SIN	Asia Pacific	Singapore	9	10.82
8.209.222.31	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	80	10.81
47.74.15.120	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	191	10.81
47.245.54.58	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	149	10.81
8.219.230.254	2083	2083	TRUE	SIN	Asia Pacific	Singapore	54	10.81
8.222.255.15	2086	2086	FALSE	SIN	Asia Pacific	Singapore	6	10.81
47.245.6.9	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	170	10.81
8.219.248.47	8880	8880	FALSE	SIN	Asia Pacific	Singapore	26	10.81
47.91.3.112	2096	0	TRUE	NRT	Asia Pacific	Tokyo	78	10.81
8.222.221.109	2082	2082	FALSE	SIN	Asia Pacific	Singapore	6	10.81
8.222.238.141	80	80	FALSE	SIN	Asia Pacific	Singapore	9	10.81
8.219.159.232	2087	2087	TRUE	SIN	Asia Pacific	Singapore	57	10.81
8.218.146.204	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	46	10.81
8.222.137.192	443	443	TRUE	SIN	Asia Pacific	Singapore	117	10.81
8.219.173.195	2096	2096	TRUE	SIN	Asia Pacific	Singapore	80	10.81
47.74.26.132	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	77	10.8
47.245.34.140	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	151	10.8
8.219.174.142	2095	2095	FALSE	SIN	Asia Pacific	Singapore	50	10.79
8.219.215.214	2087	2087	TRUE	SIN	Asia Pacific	Singapore	121	10.79
8.219.198.34	8443	8443	TRUE	SIN	Asia Pacific	Singapore	95	10.79
8.217.239.116	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	62	10.79
47.74.47.225	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	74	10.79
47.245.37.29	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	162	10.78
8.219.6.157	2095	2095	FALSE	SIN	Asia Pacific	Singapore	17	10.78
8.222.197.251	2095	2095	FALSE	SIN	Asia Pacific	Singapore	5	10.78
47.245.55.235	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	92	10.78
47.245.33.163	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	220	10.77
8.219.170.58	2096	2096	TRUE	SIN	Asia Pacific	Singapore	108	10.77
8.217.149.28	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	83	10.77
47.245.52.240	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	75	10.76
47.74.13.94	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	110	10.76
47.245.28.255	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	174	10.76
47.74.42.111	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	80	10.76
8.222.222.64	443	443	TRUE	SIN	Asia Pacific	Singapore	34	10.75
8.222.154.227	80	80	FALSE	SIN	Asia Pacific	Singapore	6	10.75
8.219.228.193	80	80	FALSE	SIN	Asia Pacific	Singapore	6	10.75
47.245.37.89	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	150	10.74
8.222.221.86	8080	8080	FALSE	SIN	Asia Pacific	Singapore	3	10.73
8.222.182.10	8880	8880	FALSE	SIN	Asia Pacific	Singapore	4	10.73
8.219.238.145	8880	8880	FALSE	SIN	Asia Pacific	Singapore	11	10.73
47.245.55.94	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	88	10.73
47.245.42.162	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	241	10.73
8.222.214.13	2083	2083	TRUE	SIN	Asia Pacific	Singapore	40	10.72
8.219.215.12	80	80	FALSE	SIN	Asia Pacific	Singapore	12	10.72
8.219.238.145	2096	2096	TRUE	SIN	Asia Pacific	Singapore	103	10.72
8.219.235.164	2082	2082	FALSE	SIN	Asia Pacific	Singapore	14	10.72
8.222.229.102	2082	2082	FALSE	SIN	Asia Pacific	Singapore	9	10.72
8.222.214.231	2052	2052	FALSE	SIN	Asia Pacific	Singapore	6	10.72
8.219.213.84	2086	2086	FALSE	SIN	Asia Pacific	Singapore	8	10.72
8.219.199.220	2096	2096	TRUE	SIN	Asia Pacific	Singapore	87	10.72
47.74.27.94	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	188	10.71
8.209.241.128	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	79	10.71
8.219.253.18	80	80	FALSE	SIN	Asia Pacific	Singapore	17	10.71
8.222.212.219	2053	2053	TRUE	SIN	Asia Pacific	Singapore	68	10.71
8.222.212.172	80	80	FALSE	SIN	Asia Pacific	Singapore	22	10.71
8.222.137.178	2082	2082	FALSE	SIN	Asia Pacific	Singapore	4	10.7
8.219.206.180	2053	2053	TRUE	SIN	Asia Pacific	Singapore	94	10.7
8.222.202.163	8880	8880	FALSE	SIN	Asia Pacific	Singapore	16	10.7
47.245.39.49	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	173	10.7
47.245.54.58	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	74	10.69
47.74.27.151	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	72	10.69
47.245.94.144	2053	2053	TRUE	SIN	Asia Pacific	Singapore	20	10.69
8.219.240.160	8880	8880	FALSE	SIN	Asia Pacific	Singapore	19	10.69
8.219.242.208	2096	2096	TRUE	SIN	Asia Pacific	Singapore	99	10.68
47.74.22.171	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	93	10.68
8.219.213.133	2053	2053	TRUE	SIN	Asia Pacific	Singapore	88	10.68
47.245.126.151	2083	2083	TRUE	SIN	Asia Pacific	Singapore	5	10.68
8.219.215.12	8080	8080	FALSE	SIN	Asia Pacific	Singapore	13	10.67
47.74.54.33	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	81	10.67
47.245.59.188	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	73	10.67
47.74.41.87	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	76	10.67
47.245.11.216	80	80	FALSE	NRT	Asia Pacific	Tokyo	74	10.67
8.222.221.90	8880	8880	FALSE	SIN	Asia Pacific	Singapore	16	10.66
47.74.43.95	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	73	10.66
47.74.23.99	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	173	10.66
8.222.212.172	2095	2095	FALSE	SIN	Asia Pacific	Singapore	20	10.66
47.245.62.84	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	75	10.66
8.222.128.131	2087	2087	TRUE	SIN	Asia Pacific	Singapore	88	10.66
47.236.123.133	2086	2086	FALSE	SIN	Asia Pacific	Singapore	23	10.65
8.219.124.227	2096	2096	TRUE	SIN	Asia Pacific	Singapore	55	10.65
47.245.3.137	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	80	10.65
8.222.140.87	443	443	TRUE	SIN	Asia Pacific	Singapore	71	10.65
47.74.11.219	80	80	FALSE	NRT	Asia Pacific	Tokyo	76	10.65
47.74.27.211	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	76	10.65
47.245.12.38	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	121	10.64
8.209.215.247	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	82	10.64
47.245.29.64	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	82	10.64
47.245.53.101	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	245	10.64
8.219.206.180	8443	8443	TRUE	SIN	Asia Pacific	Singapore	98	10.64
8.222.209.223	2096	2096	TRUE	SIN	Asia Pacific	Singapore	56	10.63
8.219.3.53	2082	2082	FALSE	SIN	Asia Pacific	Singapore	16	10.62
8.218.8.142	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	102	10.61
8.222.213.221	8443	8443	TRUE	SIN	Asia Pacific	Singapore	69	10.61
8.219.199.220	443	443	TRUE	SIN	Asia Pacific	Singapore	21	10.61
47.245.52.165	80	80	FALSE	NRT	Asia Pacific	Tokyo	75	10.61
8.219.196.24	2096	2096	TRUE	SIN	Asia Pacific	Singapore	79	10.61
47.74.34.38	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	74	10.61
8.222.147.203	2082	2082	FALSE	SIN	Asia Pacific	Singapore	27	10.6
47.74.43.95	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	102	10.6
8.219.42.72	2052	2052	FALSE	SIN	Asia Pacific	Singapore	23	10.6
47.74.47.225	80	80	FALSE	NRT	Asia Pacific	Tokyo	70	10.6
47.245.11.62	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	83	10.6
8.222.160.61	2086	2086	FALSE	SIN	Asia Pacific	Singapore	49	10.59
8.219.248.170	2083	2083	TRUE	SIN	Asia Pacific	Singapore	89	10.59
8.219.157.97	443	443	TRUE	SIN	Asia Pacific	Singapore	2	10.59
8.222.238.141	80	80	FALSE	SIN	Asia Pacific	Singapore	32	10.59
47.245.53.101	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	86	10.59
47.74.27.212	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	110	10.59
47.74.3.2	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	155	10.59
8.222.215.228	2082	2082	FALSE	SIN	Asia Pacific	Singapore	7	10.58
8.218.85.128	80	80	FALSE	HKG	Asia Pacific	Hong Kong	52	10.58
8.222.224.162	2053	2053	TRUE	SIN	Asia Pacific	Singapore	66	10.58
47.245.56.29	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	83	10.58
8.219.210.93	2083	2083	TRUE	SIN	Asia Pacific	Singapore	109	10.57
47.245.30.144	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	160	10.57
47.245.54.140	80	80	FALSE	NRT	Asia Pacific	Tokyo	76	10.57
8.222.215.228	8443	8443	TRUE	SIN	Asia Pacific	Singapore	108	10.56
8.219.253.18	2096	2096	TRUE	SIN	Asia Pacific	Singapore	83	10.56
8.222.154.50	2083	2083	TRUE	SIN	Asia Pacific	Singapore	53	10.56
8.219.249.38	2087	2087	TRUE	SIN	Asia Pacific	Singapore	144	10.55
8.219.172.128	2096	2096	TRUE	SIN	Asia Pacific	Singapore	155	10.55
8.218.143.10	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	107	10.55
8.219.142.191	8443	8443	TRUE	SIN	Asia Pacific	Singapore	63	10.55
47.74.11.219	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	114	10.55
8.219.242.208	2083	2083	TRUE	SIN	Asia Pacific	Singapore	75	10.55
47.74.32.22	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	70	10.55
8.222.238.141	8443	8443	TRUE	SIN	Asia Pacific	Singapore	47	10.54
8.218.52.115	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	88	10.54
8.222.221.109	8443	8443	TRUE	SIN	Asia Pacific	Singapore	61	10.53
47.74.54.145	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	73	10.52
47.245.11.118	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	84	10.52
47.74.13.94	80	80	FALSE	NRT	Asia Pacific	Tokyo	76	10.52
8.219.242.208	2086	2086	FALSE	SIN	Asia Pacific	Singapore	53	10.51
47.74.37.50	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	76	10.51
8.219.196.117	2095	2095	FALSE	SIN	Asia Pacific	Singapore	49	10.51
47.245.54.98	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	74	10.51
8.219.248.47	2087	2087	TRUE	SIN	Asia Pacific	Singapore	78	10.51
47.245.42.210	80	80	FALSE	NRT	Asia Pacific	Tokyo	74	10.51
8.222.131.102	8080	8080	FALSE	SIN	Asia Pacific	Singapore	3	10.5
8.218.127.249	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	85	10.5
8.209.200.73	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	86	10.5
47.245.55.94	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	139	10.5
8.222.214.231	8443	8443	TRUE	SIN	Asia Pacific	Singapore	67	10.49
8.209.243.99	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	78	10.48
47.245.37.29	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	81	10.48
8.219.220.88	2096	2096	TRUE	SIN	Asia Pacific	Singapore	91	10.48
8.219.222.98	2083	2083	TRUE	SIN	Asia Pacific	Singapore	82	10.48
47.245.59.244	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	74	10.48
47.245.31.0	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	76	10.48
8.219.196.24	8443	8443	TRUE	SIN	Asia Pacific	Singapore	98	10.48
47.245.59.244	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	91	10.47
8.218.52.115	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	124	10.46
8.219.201.8	2082	2082	FALSE	SIN	Asia Pacific	Singapore	15	10.46
47.243.203.119	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	65	10.46
8.222.224.163	2053	2053	TRUE	SIN	Asia Pacific	Singapore	38	10.45
8.222.222.64	2095	2095	FALSE	SIN	Asia Pacific	Singapore	11	10.45
8.219.230.254	2095	2095	FALSE	SIN	Asia Pacific	Singapore	7	10.45
47.74.13.239	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	79	10.45
8.222.193.208	8080	8080	FALSE	SIN	Asia Pacific	Singapore	15	10.45
8.219.213.112	2096	2096	TRUE	SIN	Asia Pacific	Singapore	116	10.44
47.74.52.188	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	99	10.44
8.219.202.130	2082	2082	FALSE	SIN	Asia Pacific	Singapore	12	10.44
8.219.213.133	80	80	FALSE	SIN	Asia Pacific	Singapore	16	10.44
47.236.7.206	80	80	FALSE	SIN	Asia Pacific	Singapore	16	10.44
8.222.249.190	2052	2052	FALSE	SIN	Asia Pacific	Singapore	62	10.44
8.218.18.132	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	84	10.43
47.74.26.131	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	73	10.43
8.219.228.157	8443	8443	TRUE	SIN	Asia Pacific	Singapore	74	10.43
47.74.13.239	80	80	FALSE	NRT	Asia Pacific	Tokyo	89	10.42
8.222.229.102	2096	2096	TRUE	SIN	Asia Pacific	Singapore	29	10.42
8.219.202.130	80	80	FALSE	SIN	Asia Pacific	Singapore	31	10.42
47.245.57.109	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	199	10.42
8.209.255.195	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	174	10.42
8.209.240.227	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	89	10.42
8.219.245.187	443	443	TRUE	SIN	Asia Pacific	Singapore	116	10.42
8.222.254.91	2087	2087	TRUE	SIN	Asia Pacific	Singapore	93	10.42
47.74.27.211	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	171	10.42
47.245.33.158	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	81	10.42
8.219.159.232	2087	2087	TRUE	SIN	Asia Pacific	Singapore	4	10.41
47.243.203.119	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	53	10.41
47.88.15.127	443	443	TRUE	SJC	North America	San Jose	174	10.41
